time,temp
2020-05-26 13:13:52.627525,29.98
2020-05-26 13:13:52.827572,33.56
2020-05-26 13:13:53.027626,35.96
2020-05-26 13:13:53.228567,30.26
2020-05-26 13:13:53.428726,31.62
2020-05-26 13:13:53.628776,34.97
2020-05-26 13:13:53.828826,31.2
2020-05-26 13:13:54.028876,34.36
2020-05-26 13:13:54.234822,32.67
2020-05-26 13:13:54.435980,30.14
2020-05-26 13:13:54.636029,35.14
2020-05-26 13:13:54.836081,32.38
2020-05-26 13:13:55.037134,32.85
2020-05-26 13:13:55.237180,33.7
2020-05-26 13:13:55.437233,29.03
2020-05-26 13:13:55.637285,33.09
2020-05-26 13:13:55.837332,32.04
2020-05-26 13:13:56.037384,32.36
2020-05-26 13:13:56.237435,31.28
2020-05-26 13:13:56.437484,28.72
2020-05-26 13:13:56.637536,30.71
2020-05-26 13:13:56.837586,33.25
2020-05-26 13:13:57.037634,34.26
2020-05-26 13:13:57.237687,28.95
2020-05-26 13:13:57.437737,34.11
2020-05-26 13:13:57.637788,33.51
2020-05-26 13:13:57.837836,34.94
2020-05-26 13:13:58.037890,34.05
2020-05-26 13:13:58.237940,34.89
2020-05-26 13:13:58.437989,29.98
2020-05-26 13:13:58.638039,33.8
2020-05-26 13:13:58.838090,30.51
2020-05-26 13:13:59.039039,29.22
2020-05-26 13:13:59.239192,32.53
2020-05-26 13:13:59.440243,33.97
2020-05-26 13:13:59.640291,33.04
2020-05-26 13:13:59.840343,28.89
2020-05-26 13:14:00.041387,33.19
2020-05-26 13:14:00.241442,35.81
2020-05-26 13:14:00.453390,31.46
2020-05-26 13:14:00.653442,33.04
2020-05-26 13:14:00.853490,35.63
2020-05-26 13:14:01.053540,33.05
2020-05-26 13:14:01.253588,34.7
2020-05-26 13:14:01.453639,29.76
2020-05-26 13:14:01.653689,29.28
2020-05-26 13:14:01.853851,33.63
2020-05-26 13:14:02.053899,28.55
2020-05-26 13:14:02.253951,34.23
2020-05-26 13:14:02.454006,28.37
2020-05-26 13:14:02.654050,35.65
2020-05-26 13:14:02.854102,29.66
2020-05-26 13:14:03.054155,30.72
2020-05-26 13:14:03.254202,34.05
2020-05-26 13:14:03.454254,30.0
2020-05-26 13:14:03.654305,33.05
2020-05-26 13:14:03.854355,33.48
2020-05-26 13:14:04.054405,34.4
2020-05-26 13:14:04.254456,35.52
2020-05-26 13:14:04.454506,34.16
2020-05-26 13:14:04.654557,35.43
2020-05-26 13:14:04.854606,33.26
2020-05-26 13:14:05.054658,28.15
2020-05-26 13:14:05.254707,29.64
2020-05-26 13:14:05.454760,33.46
2020-05-26 13:14:05.655807,33.9
2020-05-26 13:14:05.855860,31.92
2020-05-26 13:14:06.055909,33.19
2020-05-26 13:14:06.255959,32.98
2020-05-26 13:14:06.456011,30.31
2020-05-26 13:14:06.656062,33.5
2020-05-26 13:14:06.856110,30.37
2020-05-26 13:14:07.056162,32.85
2020-05-26 13:14:07.256215,31.0
2020-05-26 13:14:07.456263,30.69
2020-05-26 13:14:07.656312,35.21
2020-05-26 13:14:07.856366,29.96
2020-05-26 13:14:08.056414,33.16
2020-05-26 13:14:08.256463,30.02
2020-05-26 13:14:08.456516,32.25
2020-05-26 13:14:08.656566,35.54
2020-05-26 13:14:08.856616,35.36
2020-05-26 13:14:09.056670,28.63
2020-05-26 13:14:09.256718,32.69
2020-05-26 13:14:09.456767,29.18
2020-05-26 13:14:09.656818,31.12
2020-05-26 13:14:09.856869,34.91
2020-05-26 13:14:10.056919,32.51
2020-05-26 13:14:10.256969,33.36
2020-05-26 13:14:10.457022,33.87
